Taxonomy,Res,Com,Ind
CR/LDUAL,201,191,121
CR/LDUAL/FC,200,191,119
CR/LFINF(CLBRH),201,191,121
CR/LFINF(CLBRH)/FC,200,191,119
CR/LFINF(CBH),222,206,131
CR/LWAL,201,191,121
CR/LWAL/FC,200,191,119
MR+CLBRH/LWAL,83,109,75
MR+CLBRH/LWAL/FC,83,109,74
MR+CLBRH/LWAL/RWO/FW,82,108,70
MR+CLBRH/LWAL/RWO/FM,82,108,70
MR+CLBRH/LWAL/RWO/FC,82,108,70
MR+CBH/LWAL,84,110,77
S+SR/LFBR,160,139,75
S+SR/LFINF,160,139,75
S/LWAL,160,139,75
W/LFINF,106,124,70
W/LWAL,106,124,70
