Taxonomy,Res,Com,Ind
CR/LDUAL,40,46,45
CR/LDUAL/FC,37,45,42
CR/LFINF(CLBRH),37,44,44
CR/LFINF(CLBRH)/FC,34,42,41
CR/LFINF(CBH),39,47,47
CR/LWAL,42,48,46
CR/LWAL/FC,39,47,43
MR+CLBRH/LWAL,39,46,45
MR+CLBRH/LWAL/FC,37,44,43
MR+CLBRH/LWAL/RWO/FW,33,40,39
MR+CLBRH/LWAL/RWO/FM,39,46,45
MR+CLBRH/LWAL/RWO/FC,37,44,42
MR+CBH/LWAL,44,52,51
S+SR/LFBR,27,24,20
S+SR/LFINF,26,23,20
S/LWAL,29,27,22
W/LFINF,14,14,15
W/LWAL,14,14,13
