Taxonomy,Res,Com,Ind
CR/LDUAL,207,278,317
CR/LDUAL/FC,188,277,305
CR/LFINF(CLBRH),183,260,306
CR/LFINF(CLBRH)/FC,164,259,294
CR/LFINF(CBH),208,298,352
CR/LWAL,231,296,327
CR/LWAL/FC,211,295,315
MR+CLBRH/LWAL,355,421,423
MR+CLBRH/LWAL/FC,341,408,410
MR+CLBRH/LWAL/RWO/FW,301,367,371
MR+CLBRH/LWAL/RWO/FM,355,421,423
MR+CLBRH/LWAL/RWO/FC,341,408,410
MR+CBH/LWAL,425,506,504
S+SR/LFBR,177,191,180
S+SR/LFINF,160,173,170
S/LWAL,185,206,187
W/LFINF,61,67,96
W/LWAL,60,66,87
