Taxonomy,Res,Com,Ind
CR/LDUAL,181,175,110
CR/LDUAL/FC,181,175,109
CR/LFINF(CLBRH),181,175,110
CR/LFINF(CLBRH)/FC,181,175,109
CR/LFINF(CBH),202,189,120
CR/LWAL,181,175,110
CR/LWAL/FC,181,175,109
MR+CLBRH/LWAL,78,103,70
MR+CLBRH/LWAL/FC,78,102,69
MR+CLBRH/LWAL/RWO/FW,77,102,66
MR+CLBRH/LWAL/RWO/FM,77,102,66
MR+CLBRH/LWAL/RWO/FC,77,102,66
MR+CBH/LWAL,79,103,71
S+SR/LFBR,146,131,71
S+SR/LFINF,146,131,71
S/LWAL,146,131,71
W/LFINF,99,117,66
W/LWAL,99,117,66
