Taxonomy,Res,Com,Ind
CR/LDUAL,27.520179016237233,32.05224995675048,32.54134100674163
CR/LDUAL/FC,25.899348031174238,31.95595640962585,31.495368654143377
CR/LFINF(CLBRH),25.442702718848125,30.51856682975289,31.648795838416397
CR/LFINF(CLBRH)/FC,23.847232725594885,30.395973802988625,30.60862360099144
CR/LFINF(CBH),28.289397943727707,33.9041658922619,35.345099207452414
CR/LWAL,29.59765531362634,33.585933083748074,33.43388617506686
CR/LWAL/FC,27.951463336753605,33.515939016263076,32.38211370729532
MR+CLBRH/LWAL,26.01698134800944,30.644375547360653,29.959476304410654
MR+CLBRH/LWAL/FC,24.78435144201901,29.550066879964923,28.803465686129975
MR+CLBRH/LWAL/RWO/FW,21.06827695549839,25.694073815675214,24.876571177075355
MR+CLBRH/LWAL/RWO/FM,25.8882491571055,30.514295661017762,29.557241444601658
MR+CLBRH/LWAL/RWO/FC,23.28086571489581,28.04546468001756,27.088872692828463
MR+CBH/LWAL,29.74179898102776,35.2156719018051,34.26716443507195
S+SR/LFBR,19.609309495307187,18.03760315305854,15.765928613901629
S+SR/LFINF,18.87049565750696,17.25678897663588,15.346226167201397
S/LWAL,21.010971358641086,20.055979050237816,16.7348045777049
W/LFINF,9.032853740094978,9.791643848730946,10.415036581555476
W/LWAL,8.817531054033104,9.634697023374198,9.519619607056539
