Taxonomy,Res,Com,Ind
CR/LDUAL,1.49,1.75,1.88
CR/LDUAL/FC,1.39,1.75,1.82
CR/LFINF(CLBRH),1.36,1.66,1.83
CR/LFINF(CLBRH)/FC,1.26,1.65,1.76
CR/LFINF(CBH),1.50,1.83,2.02
CR/LWAL,1.62,1.85,1.94
CR/LWAL/FC,1.52,1.84,1.87
MR+CLBRH/LWAL,1.27,1.46,1.48
MR+CLBRH/LWAL/FC,1.19,1.39,1.41
MR+CLBRH/LWAL/RWO/FW,0.95,1.14,1.16
MR+CLBRH/LWAL/RWO/FM,1.26,1.45,1.46
MR+CLBRH/LWAL/RWO/FC,1.19,1.38,1.39
MR+CBH/LWAL,1.43,1.66,1.67
S+SR/LFBR,0.93,0.80,0.79
S+SR/LFINF,0.90,0.77,0.77
S/LWAL,1.04,0.95,0.86
W/LFINF,0.40,0.40,0.53
W/LWAL,0.38,0.39,0.47
