Taxonomy,Res,Com,Ind
CR/LDUAL,408,470,437
CR/LDUAL/FC,388,468,424
CR/LFINF(CLBRH),384,452,427
CR/LFINF(CLBRH)/FC,364,449,414
CR/LFINF(CBH),430,504,482
CR/LWAL,432,488,448
CR/LWAL/FC,412,486,435
MR+CLBRH/LWAL,438,530,497
MR+CLBRH/LWAL/FC,424,517,484
MR+CLBRH/LWAL/RWO/FW,383,475,441
MR+CLBRH/LWAL/RWO/FM,437,529,493
MR+CLBRH/LWAL/RWO/FC,423,516,480
MR+CBH/LWAL,509,616,581
S+SR/LFBR,337,330,254
S+SR/LFINF,321,312,245
S/LWAL,346,345,261
W/LFINF,167,191,166
W/LWAL,166,190,156
