Taxonomy,Res,Com,Ind
CR/LDUAL,1.09,1.46,1.69
CR/LDUAL/FC,0.99,1.45,1.63
CR/LFINF(CLBRH),0.96,1.36,1.63
CR/LFINF(CLBRH)/FC,0.86,1.36,1.57
CR/LFINF(CBH),1.05,1.50,1.80
CR/LWAL,1.22,1.55,1.74
CR/LWAL/FC,1.12,1.55,1.68
MR+CLBRH/LWAL,1.24,1.42,1.43
MR+CLBRH/LWAL/FC,1.16,1.36,1.36
MR+CLBRH/LWAL/RWO/FW,0.93,1.11,1.13
MR+CLBRH/LWAL/RWO/FM,1.24,1.42,1.43
MR+CLBRH/LWAL/RWO/FC,1.16,1.36,1.36
MR+CBH/LWAL,1.39,1.62,1.61
S+SR/LFBR,0.63,0.70,0.74
S+SR/LFINF,0.61,0.67,0.73
S/LWAL,0.74,0.85,0.82
W/LFINF,0.32,0.34,0.50
W/LWAL,0.30,0.32,0.44
