Taxonomy,Res,Com,Ind
CR/LDUAL,352,405,372
CR/LDUAL/FC,336,404,362
CR/LFINF(CLBRH),332,390,363
CR/LFINF(CLBRH)/FC,317,389,353
CR/LFINF(CBH),375,438,413
CR/LWAL,372,420,381
CR/LWAL/FC,356,419,371
MR+CLBRH/LWAL,385,468,436
MR+CLBRH/LWAL/FC,374,458,426
MR+CLBRH/LWAL/RWO/FW,340,423,390
MR+CLBRH/LWAL/RWO/FM,384,467,433
MR+CLBRH/LWAL/RWO/FC,373,457,423
MR+CBH/LWAL,449,545,512
S+SR/LFBR,301,297,226
S+SR/LFINF,285,280,217
S/LWAL,305,307,231
W/LFINF,149,172,145
W/LWAL,148,172,138
