Taxonomy,Res,Com,Ind
CR/LDUAL,0.054,0.051,0.053
CR/LDUAL/FC,0.052,0.049,0.050
CR/LFINF(CLBRH),0.054,0.051,0.054
CR/LFINF(CLBRH)/FC,0.052,0.049,0.050
CR/LFINF(CBH),0.049,0.047,0.049
CR/LWAL,0.053,0.051,0.053
CR/LWAL/FC,0.052,0.049,0.050
MR+CLBRH/LWAL,0.057,0.055,0.058
MR+CLBRH/LWAL/FC,0.055,0.054,0.056
MR+CLBRH/LWAL/RWO/FW,0.059,0.056,0.060
MR+CLBRH/LWAL/RWO/FM,0.057,0.055,0.058
MR+CLBRH/LWAL/RWO/FC,0.055,0.054,0.056
MR+CBH/LWAL,0.055,0.054,0.056
S+SR/LFBR,0.044,0.040,0.042
S+SR/LFINF,0.046,0.042,0.044
S/LWAL,0.046,0.042,0.044
W/LFINF,0.060,0.051,0.052
W/LWAL,0.059,0.050,0.052
