ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,TAXONOMY,AAEC_TOTAL_TON,AAEC_STRUCTURAL_TON,AAEC_NONSTRUCTURAL_TON
SWE,Sweden,1,Ostergotland,Com,CR/LFINF+CDL/H:1/COM,0.8236,0.4861,0.3375
SWE,Sweden,1,Ostergotland,Com,CR/LFINF+CDM/H:2/COM,0.2577,0.1416,0.1161
SWE,Sweden,1,Ostergotland,Com,CR/LFINF+CDM/HBET:3-5/COM,0.2881,0.1959,0.0921
SWE,Sweden,1,Ostergotland,Com,CR/LFINF+CDM/HBET:6-/COM,0.0108,0.0070,0.0038
SWE,Sweden,1,Ostergotland,Com,CR/LWAL+CDM/HBET:3-5/COM,0.0127,0.0054,0.0073
SWE,Sweden,1,Ostergotland,Com,CR/LWAL+CDM/HBET:6-/COM,0.0007,0.0006,0.0001
SWE,Sweden,1,Ostergotland,Com,MUR+CB/LWAL+CDN/H:1/COM,0.7535,0.6793,0.0742
SWE,Sweden,1,Ostergotland,Com,MUR+CB/LWAL+CDN/H:2/COM,0.6235,0.5279,0.0956
SWE,Sweden,1,Ostergotland,Com,MUR+CL/LWAL+CDN/H:1/COM,0.3527,0.3306,0.0222
SWE,Sweden,1,Ostergotland,Com,MUR+CL/LWAL+CDN/H:2/COM,0.2890,0.2561,0.0330
SWE,Sweden,1,Ostergotland,Com,W/LPB+CDM/H:1/COM,0.0254,0.0105,0.0148
SWE,Sweden,1,Ostergotland,Com,W/LPB+CDM/H:2/COM,0.0074,0.0015,0.0059
SWE,Sweden,1,Ostergotland,Com,W/LWAL+CDM/H:1/COM,0.0137,0.0024,0.0112
SWE,Sweden,1,Ostergotland,Com,W/LWAL+CDM/H:2/COM,0.0038,0.0012,0.0026
SWE,Sweden,1,Ostergotland,Ind,CR+PC/LFM+CDN/H:1/IND,0.4392,0.3719,0.0672
SWE,Sweden,1,Ostergotland,Ind,CR/LFM+CDN/H:2/IND,0.1703,0.1442,0.0261
SWE,Sweden,1,Ostergotland,Ind,MUR/LWAL+CDN/H:1/IND,0.2660,0.2517,0.0142
SWE,Sweden,1,Ostergotland,Ind,S+SL/LFM+CDN/H:1/IND,0.0470,0.0364,0.0107
SWE,Sweden,1,Ostergotland,Ind,S/LFBR+CDN/H:1/IND,0.1902,0.1540,0.0361
SWE,Sweden,1,Ostergotland,Ind,S/LFM+CDN/H:1/IND,0.2009,0.1570,0.0439
SWE,Sweden,1,Ostergotland,Ind,W/LWAL+CDN/H:1/IND,0.4518,0.2710,0.1809
SWE,Sweden,1,Ostergotland,Res,CR/LFINF+CDN/H:3/RES,7.8527,3.7815,4.0712
SWE,Sweden,1,Ostergotland,Res,CR/LWAL+CDN/HBET:4-10/RES,0.1764,0.1025,0.0739
SWE,Sweden,1,Ostergotland,Res,MUR+CB/LWAL+CDN/HBET:1-2/RES,3.7440,3.3448,0.3992
SWE,Sweden,1,Ostergotland,Res,MUR+CB/LWAL+CDN/HBET:1-4/RES,0.7006,0.6209,0.0797
SWE,Sweden,1,Ostergotland,Res,MUR+CL/LWAL+CDN/HBET:1-4/RES,3.2183,2.7295,0.4888
SWE,Sweden,1,Ostergotland,Res,W/LPB+CDL/HBET:1-3/RES,0.5002,0.1942,0.3059
SWE,Sweden,1,Ostergotland,Res,W/LWAL+CDL/HBET:1-3/RES,0.5683,0.1634,0.4049
SWE,Sweden,10,Kronoberg,Com,CR/LFINF+CDL/H:1/COM,0.2172,0.1310,0.0861
SWE,Sweden,10,Kronoberg,Com,CR/LFINF+CDM/H:2/COM,0.0652,0.0469,0.0184
SWE,Sweden,10,Kronoberg,Com,CR/LFINF+CDM/HBET:3-5/COM,0.1206,0.0681,0.0525
SWE,Sweden,10,Kronoberg,Com,CR/LFINF+CDM/HBET:6-/COM,0.0092,0.0058,0.0034
SWE,Sweden,10,Kronoberg,Com,CR/LWAL+CDM/HBET:3-5/COM,0.0178,0.0078,0.0101
SWE,Sweden,10,Kronoberg,Com,CR/LWAL+CDM/HBET:6-/COM,0.0002,0.0002,0.0001
SWE,Sweden,10,Kronoberg,Com,MUR+CB/LWAL+CDN/H:1/COM,0.4289,0.3877,0.0412
SWE,Sweden,10,Kronoberg,Com,MUR+CB/LWAL+CDN/H:2/COM,0.3659,0.3134,0.0525
SWE,Sweden,10,Kronoberg,Com,MUR+CL/LWAL+CDN/H:1/COM,0.1689,0.1415,0.0275
SWE,Sweden,10,Kronoberg,Com,MUR+CL/LWAL+CDN/H:2/COM,0.1487,0.1342,0.0145
SWE,Sweden,10,Kronoberg,Com,W/LPB+CDM/H:1/COM,0.0195,0.0052,0.0143
SWE,Sweden,10,Kronoberg,Com,W/LPB+CDM/H:2/COM,0.0106,0.0027,0.0080
SWE,Sweden,10,Kronoberg,Com,W/LWAL+CDM/H:1/COM,0.0084,0.0036,0.0049
