ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,TAXONOMY,AAEC_TOTAL_TON,AAEC_STRUCTURAL_TON,AAEC_NONSTRUCTURAL_TON
LVA,Latvia,1,Kurzeme,Com,CR/LFINF+CDL/H:1/COM,1.0102,0.6616,0.3486
LVA,Latvia,1,Kurzeme,Com,CR/LFINF+CDM/H:2/COM,0.2955,0.2509,0.0446
LVA,Latvia,1,Kurzeme,Com,CR/LFINF+CDM/HBET:3-5/COM,0.2269,0.1541,0.0728
LVA,Latvia,1,Kurzeme,Com,CR/LWAL+CDM/HBET:3-5/COM,0.0240,0.0201,0.0039
LVA,Latvia,1,Kurzeme,Com,CR/LWAL+CDM/HBET:6-/COM,0.0007,0.0001,0.0006
LVA,Latvia,1,Kurzeme,Com,MUR+CB/LWAL+CDN/H:1/COM,0.7705,0.6769,0.0936
LVA,Latvia,1,Kurzeme,Com,MUR+CB/LWAL+CDN/H:2/COM,0.2265,0.2057,0.0209
LVA,Latvia,1,Kurzeme,Com,MUR+CL/LWAL+CDN/H:1/COM,0.4471,0.4050,0.0421
LVA,Latvia,1,Kurzeme,Com,MUR+CL/LWAL+CDN/H:2/COM,0.2190,0.2016,0.0175
LVA,Latvia,1,Kurzeme,Com,W/LPB+CDM/H:1/COM,0.0337,0.0089,0.0247
LVA,Latvia,1,Kurzeme,Com,W/LPB+CDM/H:2/COM,0.0025,0.0012,0.0013
LVA,Latvia,1,Kurzeme,Com,W/LWAL+CDM/H:1/COM,0.0168,0.0019,0.0149
LVA,Latvia,1,Kurzeme,Com,W/LWAL+CDM/H:2/COM,0.0029,0.0003,0.0026
LVA,Latvia,1,Kurzeme,Ind,CR+PC/LFM+CDN/H:1/IND,0.4226,0.3517,0.0709
LVA,Latvia,1,Kurzeme,Ind,CR/LFM+CDN/H:2/IND,0.1957,0.1569,0.0388
LVA,Latvia,1,Kurzeme,Ind,CR/LWAL+CDN/H:1/IND,0.0228,0.0035,0.0193
LVA,Latvia,1,Kurzeme,Ind,MUR/LWAL+CDN/H:1/IND,0.7742,0.7268,0.0474
LVA,Latvia,1,Kurzeme,Ind,S+SL/LFM+CDN/H:1/IND,0.1417,0.1147,0.0271
LVA,Latvia,1,Kurzeme,Ind,S/LFM+CDN/H:1/IND,0.1913,0.1425,0.0487
LVA,Latvia,1,Kurzeme,Ind,W/LWAL+CDN/H:1/IND,0.1769,0.0990,0.0779
