ID_0,NAME_0,ID_1,NAME_1,OCCUPANCY,TAXONOMY,AAEC_TOTAL_TON,AAEC_STRUCTURAL_TON,AAEC_NONSTRUCTURAL_TON
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR+PC/LWAL+CDL/HBET:3-5/COM,0.7197,0.4885,0.2312
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR+PC/LWAL+CDL/HBET:6-/COM,0.1721,0.1188,0.0533
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR+PC/LWAL+CDM/H:1/COM,0.0783,0.0038,0.0745
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR+PC/LWAL+CDM/H:2/COM,0.0679,0.0207,0.0472
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR+PC/LWAL+CDM/HBET:3-5/COM,0.0583,0.0373,0.0210
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR+PC/LWAL+CDM/HBET:6-/COM,0.0834,0.0559,0.0274
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LDUAL+CDH/HBET:3-5/COM,0.0572,0.0354,0.0218
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LDUAL+CDH/HBET:6-/COM,0.0578,0.0397,0.0181
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LDUAL+CDL/HBET:3-5/COM,0.5668,0.3816,0.1852
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LDUAL+CDL/HBET:6-/COM,0.2648,0.1779,0.0869
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LDUAL+CDM/HBET:3-5/COM,0.3122,0.2034,0.1089
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LDUAL+CDM/HBET:6-/COM,0.0987,0.0678,0.0308
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LFINF+CDL/HBET:3-5/COM,0.7215,0.4975,0.2240
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LFINF+CDM/H:1/COM,0.3370,0.1836,0.1534
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LFINF+CDM/H:2/COM,2.8960,1.9635,0.9325
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LFINF+CDM/HBET:3-5/COM,1.2653,0.8668,0.3986
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,CR/LFINF+CDN/HBET:6-/COM,0.8690,0.5891,0.2799
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,MCF/LWAL+CDL/H:1/COM,3.8147,0.9609,2.8538
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,MCF/LWAL+CDL/H:2/COM,64.0347,33.0586,30.9762
MDA,Moldova,MDA.10_1,Mun. Chisinau,Com,MCF/LWAL+CDL/HBET:3-5/COM,3.1423,1.9907,1.1516
