NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Foundations,0.0197,m3,341.9382,m3,2458.8600,0.0500
2,Frame,0.0000,m3,0.0000,m3,0.0000,0.0000
3,Floors,0.0750,m3,284.7290,m3,1855.1167,0.1000
4,Walls,0.4837,m3,485.8445,m3,1527.9751,0.0600
