NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF
1,Foundations,0.044207818930041144,m3,341.9382,m3,2458.86
2,Frame,0.0478780864197531,m3,162.0,m3,640.0
3,Floors,0.075,m3,284.72900000000004,m3,1855.1166666666663
4,Walls,0.03385199074074074,m3,162.0,m3,640.0
