NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Foundations,0.1484,m3,341.9382,m3,2458.8600,0.0500
2,Frame,0.1538,m3,486.3067,m3,2578.8908,0.0500
3,Floors,0.4500,m3,257.5812,m3,1756.7608,0.0600
4,Walls,0.0545,m3,375.3161,m3,2486.6550,0.0500
