NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Foundations,0.0670,m3,341.9382,m3,2458.8600,0.0500
2,Frame,0.0069,m3,5442.5620,m3,7850.0000,0.0100
3,Floors,0.1303,m3,497.0047,m3,2259.9401,0.0500
4,Walls,0.1353,m3,375.3161,m3,2486.6550,0.0500
