NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Foundations,0.1018,m3,341.9382,m3,2458.8600,0.0500
2,Frame,0.1603,m3,486.3067,m3,2578.8908,0.0500
3,Floors,0.3500,m3,257.5812,m3,1756.7608,0.0600
4,Walls,0.0722,m3,375.3161,m3,2486.6550,0.0500
