NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Foundations,0.0584,m3,341.9382,m3,2458.8600,0.0500
2,Frame,0.0479,m3,162.0000,m3,640.0000,0.0200
3,Floors,0.0750,m3,284.7290,m3,1855.1167,0.1000
4,Walls,0.0070,m3,162.0000,m3,640.0000,0.0200
