NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Foundations,0.0270,m3,341.9382,m3,2458.8600,0.0500
2,Frame,0.0000,m3,0.0000,m3,0.0000,0.0000
3,Floors,0.1500,m3,362.7960,m3,2476.3000,0.0500
4,Walls,0.6009,m3,485.8445,m3,1527.9751,0.0600
