NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF
1,Foundations,0.10470382653061225,m3,341.9382,m3,2458.86
2,Frame,0.16030612244897963,m3,486.306696,m3,2578.8908
3,Floors,0.25,m3,362.79600000000005,m3,2476.3
4,Walls,0.02653061224489796,m3,375.3161,m3,2486.655
