NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF
1,Foundations,0.0196875,m3,341.9382,m3,2458.86
2,Frame,0.0,m3,0.0,m3,0.0
3,Floors,0.15,m3,362.79600000000005,m3,2476.3
4,Walls,0.48369140625,m3,485.9904670238732,m3,1527.9750715591476
