NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Foundations,0.0564,m3,341.9382,m3,2458.8600,0.0500
2,Frame,0.0956,m3,486.3067,m3,2578.8908,0.0500
3,Floors,0.1500,m3,362.7960,m3,2476.3000,0.0500
4,Walls,0.1456,m3,375.3161,m3,2486.6550,0.0500
