NO,ITEM,QUANTITY,QUANTITY_UNITS,EC,EC_UNITS,MF,WR
1,Foundations,0.0233,m3,341.9382,m3,2458.8600,0.0500
2,Frame,0.0000,m3,0.0000,m3,0.0000,0.0000
3,Floors,0.2500,m3,345.7002,m3,2116.4302,0.0500
4,Walls,0.4837,m3,571.1700,m3,1668.9135,0.0600
