ID_0,NAME_0,ID_1,NAME_1,SETTLEMENT,OCCUPANCY,TAXONOMY,BUILDINGS,TOTAL_AREA_SQM,TOTAL_REPL_COST_USD,COST_STRUCTURAL_USD,COST_NONSTRUCTURAL_USD,COST_CONTENTS_USD,TOTAL_REPL_EC_TON,EC_STRUCTURAL_TON,EC_NONSTRUCTURAL_TON
CYP,Cyprus,1,Ammochostos,RURAL,Res,CR/LFINF+CDN/H:1/RES,4737,757976,894372520,268311756,447186260,178874504,290140,137888,152251
CYP,Cyprus,1,Ammochostos,RURAL,Res,CR/LFINF+CDN/H:2/RES,1069,310032,325275962,97582789,162637981,65055192,118763,56462,62301
CYP,Cyprus,1,Ammochostos,RURAL,Res,CR/LFINF+CDN/HBET:3-5/RES,320,119470,109574728,32872418,54787364,21914946,45867,21829,24038
CYP,Cyprus,1,Ammochostos,RURAL,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,9,3233,2902930,870879,1451465,580586,1241,591,650
CYP,Cyprus,1,Ammochostos,RURAL,Res,MUR/LWAL+CDN/H:1/RES,5350,856080,912071494,273621448,456035747,182414299,374857,303597,71260
CYP,Cyprus,1,Ammochostos,RURAL,Res,MUR/LWAL+CDN/H:2/RES,400,115920,119223646,35767094,59611823,23844729,50789,41139,9650
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LDUAL+CDN/H:2/SOS/RES,508,147224,147137820,44141346,73568910,29427564,59944,30365,29579
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LDUAL+CDN/HBET:3-5/SOS/RES,283,105787,95631225,28689368,47815613,19126245,43171,21891,21280
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDM+LFC:12.0/H:1/RES,272,43533,50700274,15210082,25350137,10140055,16664,7919,8744
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDM+LFC:12.0/H:2/RES,2224,645070,678558025,203567408,339279013,135711605,247104,117478,129627
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDM+LFC:12.0/HBET:3-5/RES,117,43545,43577236,13073171,21788618,8715447,16718,7956,8761
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDM+LFC:12.0/HBET:6-/RES,36,66576,59781756,17934527,29890878,11956351,25579,12178,13401
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDN/H:1/RES,245,39134,46854185,14056255,23427092,9370837,14980,7119,7861
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDN/H:2/RES,2750,797581,858065462,257419639,429032731,171613092,305526,145252,160274
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDN/H:2/SOS/RES,976,283169,311127736,93338321,155563868,62225547,108472,51570,56903
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDN/HBET:3-5/RES,8,2908,3482025,1044608,1741012,696405,1117,531,585
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,24,8918,8647675,2594302,4323837,1729535,3424,1629,1794
CYP,Cyprus,1,Ammochostos,URBAN,Res,CR/LFINF+CDN/HBET:6-/SOS/RES,0,451,404687,121406,202344,80937,173,82,91
CYP,Cyprus,1,Ammochostos,URBAN,Res,MUR+ADO/LWAL+CDN/H:1/RES,278,44395,48090582,14427174,24045291,9618116,19440,15744,3695
CYP,Cyprus,1,Ammochostos,URBAN,Res,MUR/LWAL+CDN/H:1/RES,517,82667,88263558,26479067,44131779,17652712,36198,29317,6881
CYP,Cyprus,1,Ammochostos,URBAN,Res,MUR/LWAL+CDN/H:2/RES,478,138772,133124302,39937290,66562151,26624860,60802,49249,11552
CYP,Cyprus,2,Larnaka,RURAL,Res,CR/LFINF+CDN/H:1/RES,9920,1587176,1894300570,568290171,947150285,378860114,607543,288733,318809
CYP,Cyprus,2,Larnaka,RURAL,Res,CR/LFINF+CDN/H:2/RES,3019,875344,905262528,271578758,452631264,181052506,335314,159414,175900
CYP,Cyprus,2,Larnaka,RURAL,Res,CR/LFINF+CDN/HBET:3-5/RES,1076,401674,369768904,110930671,184884452,73953781,154210,73392,80818
CYP,Cyprus,2,Larnaka,RURAL,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,4,1399,1255824,376747,627912,251165,537,256,281
CYP,Cyprus,2,Larnaka,RURAL,Res,MUR/LWAL+CDN/H:1/RES,11301,1808096,1951657469,585497240,975828734,390331494,791723,641217,150506
CYP,Cyprus,2,Larnaka,RURAL,Res,MUR/LWAL+CDN/H:2/RES,1096,317985,327784528,98335358,163892264,65556906,139322,112851,26471
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LDUAL+CDN/H:2/SOS/RES,808,234450,235781780,70734534,117890890,47156356,95459,48355,47103
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LDUAL+CDN/HBET:3-5/SOS/RES,431,160990,146710118,44013036,73355059,29342024,65699,33314,32385
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDM+LFC:12.0/H:1/RES,614,98229,104727982,31418394,52363991,20945596,37600,17869,19731
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDM+LFC:12.0/H:2/RES,4407,1278001,1364937742,409481323,682468871,272987548,489559,232745,256814
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDM+LFC:12.0/HBET:3-5/RES,229,85637,87670217,26301065,43835108,17534043,32877,15647,17230
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDM+LFC:12.0/HBET:6-/RES,68,123865,111224094,33367228,55612047,22244819,47589,22657,24932
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDN/H:1/RES,346,55358,66278586,19883576,33139293,13255717,21190,10071,11120
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDN/H:2/RES,4792,1389652,1470604798,441181439,735302399,294120960,532328,253078,279250
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDN/H:2/SOS/RES,1828,530265,573682166,172104650,286841083,114736433,203126,96570,106557
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDN/HBET:3-5/RES,35,12975,15534960,4660488,7767480,3106992,4981,2371,2611
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,44,16245,16736378,5020913,8368189,3347276,6237,2968,3268
CYP,Cyprus,2,Larnaka,URBAN,Res,CR/LFINF+CDN/HBET:6-/SOS/RES,2,4087,3670163,1101049,1835082,734033,1570,748,823
CYP,Cyprus,2,Larnaka,URBAN,Res,MUR+ADO/LWAL+CDN/H:1/RES,501,80218,86894778,26068433,43447389,17378956,35125,28448,6677
CYP,Cyprus,2,Larnaka,URBAN,Res,MUR/LWAL+CDN/H:1/RES,960,153587,154720228,46416068,77360114,30944046,67252,54468,12785
CYP,Cyprus,2,Larnaka,URBAN,Res,MUR/LWAL+CDN/H:2/RES,955,276986,268043123,80412937,134021561,53608625,121359,98301,23058
CYP,Cyprus,3,Lemesos,RURAL,Res,CR/LFINF+CDN/H:1/RES,11833,1893416,2257078563,677123569,1128539282,451415713,724766,344444,380322
CYP,Cyprus,3,Lemesos,RURAL,Res,CR/LFINF+CDN/H:2/RES,2444,708681,774821430,232446429,387410715,154964286,271472,129062,142409
CYP,Cyprus,3,Lemesos,RURAL,Res,CR/LFINF+CDN/HBET:3-5/RES,608,226952,215753389,64726017,107876695,43150678,87131,41468,45663
CYP,Cyprus,3,Lemesos,RURAL,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,6,2399,2153907,646172,1076953,430782,921,438,483
CYP,Cyprus,3,Lemesos,RURAL,Res,MUR/LWAL+CDN/H:1/RES,13568,2170920,2340178221,702053467,1170089110,468035645,950595,769887,180708
CYP,Cyprus,3,Lemesos,RURAL,Res,MUR/LWAL+CDN/H:2/RES,1115,323502,341235571,102370671,170617786,68247115,141740,114809,26931
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LDUAL+CDN/H:2/SOS/RES,1885,546738,556160396,166848119,278080198,111232079,222609,112765,109845
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LDUAL+CDN/HBET:3-5/SOS/RES,964,360003,328822813,98646844,164411407,65764563,146914,74496,72419
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDM+LFC:12.0/H:1/RES,1232,197154,215605108,64681532,107802554,43121022,75467,35865,39601
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDM+LFC:12.0/H:2/RES,10808,3134313,3405643272,1021692982,1702821636,681128654,1200648,570809,629839
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDM+LFC:12.0/HBET:3-5/RES,422,157694,157449344,47234803,78724672,31489869,60541,28813,31728
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDM+LFC:12.0/HBET:6-/RES,140,255998,229873136,68961941,114936568,45974627,98355,46826,51529
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDN/H:1/RES,815,130421,156148050,46844415,78074025,31229610,49923,23726,26197
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDN/H:2/RES,11088,3215487,3458373506,1037512052,1729186753,691674701,1231743,585592,646151
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDN/H:2/SOS/RES,4294,1245199,1369973971,410992191,684986986,273994794,476993,226771,250222
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDN/HBET:3-5/RES,109,40622,48635066,14590520,24317533,9727013,15595,7422,8173
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,106,39444,40977393,12293218,20488697,8195479,15143,7207,7936
CYP,Cyprus,3,Lemesos,URBAN,Res,CR/LFINF+CDN/HBET:6-/SOS/RES,4,6357,5708612,1712584,2854306,1141722,2443,1163,1280
CYP,Cyprus,3,Lemesos,URBAN,Res,MUR+ADO/LWAL+CDN/H:1/RES,1295,207173,224417514,67325254,112208757,44883503,90716,73471,17245
CYP,Cyprus,3,Lemesos,URBAN,Res,MUR/LWAL+CDN/H:1/RES,2047,327574,336348096,100904429,168174048,67269619,143437,116170,27267
CYP,Cyprus,3,Lemesos,URBAN,Res,MUR/LWAL+CDN/H:2/RES,2325,674228,664215735,199264721,332107868,132843147,295407,239280,56128
CYP,Cyprus,4,Lefkosia,RURAL,Res,CR/LFINF+CDN/H:1/RES,13777,2204384,2631970468,789591141,1315985234,526394094,843799,401014,442785
CYP,Cyprus,4,Lefkosia,RURAL,Res,CR/LFINF+CDN/H:2/RES,2173,630220,717245931,215173779,358622965,143449186,241416,114774,126643
CYP,Cyprus,4,Lefkosia,RURAL,Res,CR/LFINF+CDN/HBET:3-5/RES,326,121674,117801559,35340468,58900780,23560312,46713,22232,24481
CYP,Cyprus,4,Lefkosia,RURAL,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,5,1689,1516678,455004,758339,303336,648,309,340
CYP,Cyprus,4,Lefkosia,RURAL,Res,MUR/LWAL+CDN/H:1/RES,15512,2481856,2679998745,803999624,1339999373,535999749,1086746,880156,206590
CYP,Cyprus,4,Lefkosia,RURAL,Res,MUR/LWAL+CDN/H:2/RES,1132,328317,350789328,105236799,175394664,70157865,143849,116518,27332
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LDUAL+CDN/H:2/SOS/RES,2752,798193,796309599,238892880,398154799,159261920,324991,164627,160364
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LDUAL+CDN/HBET:3-5/SOS/RES,1542,575781,523638589,157091577,261819294,104727718,234972,119147,115825
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDM+LFC:12.0/H:1/RES,1399,223845,237969031,71390709,118984516,47593806,85684,40721,44963
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDM+LFC:12.0/H:2/RES,11985,3475606,3648136552,1094440966,1824068276,729627310,1331386,632964,698422
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDM+LFC:12.0/HBET:3-5/RES,597,222994,220614213,66184264,110307106,44122842,85611,40744,44867
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDM+LFC:12.0/HBET:6-/RES,208,378450,339827890,101948367,169913945,67965578,145401,69224,76176
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDM+LFC:9.0/H:1/RES,303,48458,56668392,17000518,28334196,11333678,18549,8815,9733
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDM+LFC:9.0/H:2/RES,2481,719406,816036130,244810839,408018065,163207226,275580,131015,144564
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDM+LFC:9.0/HBET:3-5/RES,83,30932,32915025,9874507,16457512,6583005,11876,5652,6224
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDM+LFC:9.0/HBET:6-/RES,18,32574,29249384,8774815,14624692,5849877,12515,5958,6557
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDN/H:1/RES,1052,168365,201577013,60473104,100788506,40315402,64447,30628,33819
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDN/H:2/RES,15299,4436696,4685278916,1405583675,2342639458,937055783,1699547,807994,891553
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDN/H:2/SOS/RES,5758,1669861,1806520465,541956140,903260233,361304093,639667,304109,335558
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDN/HBET:3-5/RES,117,43844,52492721,15747816,26246360,10498544,16832,8011,8821
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,150,56120,57009962,17102989,28504981,11401992,21545,10254,11291
CYP,Cyprus,4,Lefkosia,URBAN,Res,CR/LFINF+CDN/HBET:6-/SOS/RES,6,9908,8896972,2669092,4448486,1779394,3807,1812,1994
CYP,Cyprus,4,Lefkosia,URBAN,Res,MUR+ADO/LWAL+CDN/H:1/RES,1575,251981,272955256,81886577,136477628,54591051,110336,89362,20975
CYP,Cyprus,4,Lefkosia,URBAN,Res,MUR/LWAL+CDN/H:1/RES,2754,440667,448955918,134686775,224477959,89791183,192958,156277,36681
CYP,Cyprus,4,Lefkosia,URBAN,Res,MUR/LWAL+CDN/H:2/RES,3102,899667,868370817,260511245,434185408,173674163,394181,319286,74895
CYP,Cyprus,5,Paphos,RURAL,Res,CR/LFINF+CDN/H:1/RES,10105,1616752,1928923033,578676910,964461516,385784607,618864,294114,324750
CYP,Cyprus,5,Paphos,RURAL,Res,CR/LFINF+CDN/H:2/RES,2425,703287,748208060,224462418,374104030,149641612,269405,128080,141325
CYP,Cyprus,5,Paphos,RURAL,Res,CR/LFINF+CDN/HBET:3-5/RES,720,268953,249548857,74864658,124774429,49909772,103256,49142,54114
CYP,Cyprus,5,Paphos,RURAL,Res,CR/LFINF+CDN/HBET:3-5/SOS/RES,4,1585,1423516,427055,711758,284703,609,290,319
CYP,Cyprus,5,Paphos,RURAL,Res,MUR/LWAL+CDN/H:1/RES,11463,1834104,1978913911,593674173,989456956,395782782,803111,650440,152671
CYP,Cyprus,5,Paphos,RURAL,Res,MUR/LWAL+CDN/H:2/RES,990,287187,299888975,89966692,149944488,59977796,125829,101921,23908
