Taxonomy,Conversion,Foundations,Frame,Floors,Walls,Roofing,Stairs,External Infills,Internal Parititions
CR/LDUAL,CR/LDUAL,RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+CIP/LDUAL,CR/LDUAL,RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+PC/LDUAL,CR/LDUAL,RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+CIP/LDUAL/RSH1/FC,CR/LDUAL/FC,RC foundation,RC frame,RC solid slab,RC wall,RC solid roofing,Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR/LDUAL/FC,CR/LDUAL/FC,RC foundation,RC frame,RC solid slab,RC wall,RC solid roofing,Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR/LFINF,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR/LFM,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR/LFINF(CL),CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR/LFINF(MUR+CL),CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+CIP/LFINF,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+PC/LFM,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
CR+PC/LPB,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
UNK/LFM,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
MATO/LFM,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
SRC/LFM,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
MCF/LWAL,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
MIX(MUR+CR)/LWAL,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
MCF+CLBRH/LWAL,CR/LFINF(CLBRH),RC foundation,RC frame,RC ribbed slab (with hollow clay bricks),RC wall,RC ribbed roofing (with hollow clay bricks),Stairs (RC),Hollow clay infill (external),Hollow clay infill (internal)
